relative_path,category,modality,sampling_rate,channels,data_shape,timestamps_shape
DEJA-VU/preprocessed/clean_P001_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[638274, 4]",[638274]
DEJA-VU/preprocessed/clean_P001_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[374090, 7]",[374090]
DEJA-VU/preprocessed/clean_P001_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[637623, 2]",[637623]
DEJA-VU/preprocessed/clean_P001_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12470, 1]",[12470]
DEJA-VU/preprocessed/clean_P001_S002.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[548599, 4]",[548599]
DEJA-VU/preprocessed/clean_P001_S002.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[321440, 7]",[321440]
DEJA-VU/preprocessed/clean_P001_S002.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[548588, 2]",[548588]
DEJA-VU/preprocessed/clean_P001_S002.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[10715, 1]",[10715]
DEJA-VU/preprocessed/clean_P002_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[575457, 4]",[575457]
DEJA-VU/preprocessed/clean_P002_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[337190, 7]",[337190]
DEJA-VU/preprocessed/clean_P002_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[574774, 2]",[574774]
DEJA-VU/preprocessed/clean_P002_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[11240, 1]",[11240]
DEJA-VU/preprocessed/clean_P002_S002.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[653961, 4]",[653961]
DEJA-VU/preprocessed/clean_P002_S002.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[383243, 7]",[383243]
DEJA-VU/preprocessed/clean_P002_S002.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[654044, 2]",[654044]
