relative_path,filename,extension,size_bytes,category,participant,session,trusted
DEJA-VU/data.xlsx,data.xlsx,.xlsx,114947,spreadsheet,,,True
DEJA-VU/deja_vu_database.db,deja_vu_database.db,.db,233472,sqlite_database,,,True
DEJA-VU/preprocessed/clean_P001_S001.h5,clean_P001_S001.h5,.h5,64989528,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P001_S002.h5,clean_P001_S002.h5,.h5,55868008,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P002_S001.h5,clean_P002_S001.h5,.h5,58587192,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P002_S002.h5,clean_P002_S002.h5,.h5,66601752,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P003_S001.h5,clean_P003_S001.h5,.h5,63767712,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P004_S001.h5,clean_P004_S001.h5,.h5,64967096,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P005_S001.h5,clean_P005_S001.h5,.h5,63011680,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P006_S001.h5,clean_P006_S001.h5,.h5,63382312,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P007_S001.h5,clean_P007_S001.h5,.h5,64207712,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P007_S002.h5,clean_P007_S002.h5,.h5,62753256,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P008_S001.h5,clean_P008_S001.h5,.h5,65772632,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P009_S001.h5,clean_P009_S001.h5,.h5,64703824,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P009_S002.h5,clean_P009_S002.h5,.h5,61607616,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P010_S001.h5,clean_P010_S001.h5,.h5,62855872,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P011_S001.h5,clean_P011_S001.h5,.h5,68713552,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P011_S002.h5,clean_P011_S002.h5,.h5,62384736,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P012_S001.h5,clean_P012_S001.h5,.h5,62149992,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P013_S001.h5,clean_P013_S001.h5,.h5,63748056,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P014_S001.h5,clean_P014_S001.h5,.h5,63823792,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P015_S001.h5,clean_P015_S001.h5,.h5,60337248,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P016_S001.h5,clean_P016_S001.h5,.h5,61658496,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P017_S001.h5,clean_P017_S001.h5,.h5,59104584,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P017_S002.h5,clean_P017_S002.h5,.h5,63633952,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P018_S001.h5,clean_P018_S001.h5,.h5,65544584,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P019_S001.h5,clean_P019_S001.h5,.h5,48199272,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P020_S001.h5,clean_P020_S001.h5,.h5,65466648,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P021_S001.h5,clean_P021_S001.h5,.h5,62524160,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P022_S001.h5,clean_P022_S001.h5,.h5,64338144,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P023_S001.h5,clean_P023_S001.h5,.h5,64850552,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P024_S001.h5,clean_P024_S001.h5,.h5,62201664,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P025_S001.h5,clean_P025_S001.h5,.h5,58683112,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P026_S001.h5,clean_P026_S001.h5,.h5,59201200,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P027_S001.h5,clean_P027_S001.h5,.h5,63069224,preprocessed_hdf5,,,True
DEJA-VU/preprocessed/clean_P028_S001.h5,clean_P028_S001.h5,.h5,63322192,preprocessed_hdf5,,,True
DEJA-VU/raw/sub-P001/ses-S001/eeg/sub-P001_ses-S001_task-Default_run-001_eeg.xdf,sub-P001_ses-S001_task-Default_run-001_eeg.xdf,.xdf,60728626,raw_xdf,P001,S001,True
DEJA-VU/raw/sub-P001/ses-S002/eeg/sub-P001_ses-S002_task-Default_run-001_eeg.xdf,sub-P001_ses-S002_task-Default_run-001_eeg.xdf,.xdf,52206300,raw_xdf,P001,S002,True
DEJA-VU/raw/sub-P002/ses-S001/eeg/sub-P002_ses-S001_task-Default_run-001_eeg.xdf,sub-P002_ses-S001_task-Default_run-001_eeg.xdf,.xdf,54746174,raw_xdf,P002,S001,True
DEJA-VU/raw/sub-P002/ses-S002/eeg/sub-P002_ses-S002_task-Default_run-001_eeg.xdf,sub-P002_ses-S002_task-Default_run-001_eeg.xdf,.xdf,62237640,raw_xdf,P002,S002,True
DEJA-VU/raw/sub-P003/ses-S001/eeg/sub-P003_ses-S001_task-Default_run-001_eeg.xdf,sub-P003_ses-S001_task-Default_run-001_eeg.xdf,.xdf,59581907,raw_xdf,P003,S001,True
DEJA-VU/raw/sub-P004/ses-S001/eeg/sub-P004_ses-S001_task-Default_run-001_eeg.xdf,sub-P004_ses-S001_task-Default_run-001_eeg.xdf,.xdf,60705529,raw_xdf,P004,S001,True
DEJA-VU/raw/sub-P005/ses-S001/eeg/sub-P005_ses-S001_task-Default_run-001_eeg.xdf,sub-P005_ses-S001_task-Default_run-001_eeg.xdf,.xdf,58880564,raw_xdf,P005,S001,True
DEJA-VU/raw/sub-P006/ses-S001/eeg/sub-P006_ses-S001_task-Default_run-001_eeg.xdf,sub-P006_ses-S001_task-Default_run-001_eeg.xdf,.xdf,59226602,raw_xdf,P006,S001,True
DEJA-VU/raw/sub-P007/ses-S001/eeg/sub-P007_ses-S001_task-Default_run-001_eeg.xdf,sub-P007_ses-S001_task-Default_run-001_eeg.xdf,.xdf,60001363,raw_xdf,P007,S001,True
DEJA-VU/raw/sub-P007/ses-S002/eeg/sub-P007_ses-S002_task-Default_run-001_eeg.xdf,sub-P007_ses-S002_task-Default_run-001_eeg.xdf,.xdf,58637587,raw_xdf,P007,S002,True
DEJA-VU/raw/sub-P008/ses-S001/eeg/sub-P008_ses-S001_task-Default_run-001_eeg.xdf,sub-P008_ses-S001_task-Default_run-001_eeg.xdf,.xdf,61463676,raw_xdf,P008,S001,True
DEJA-VU/raw/sub-P009/ses-S001/eeg/sub-P009_ses-S001_task-Default_run-001_eeg.xdf,sub-P009_ses-S001_task-Default_run-001_eeg.xdf,.xdf,60464635,raw_xdf,P009,S001,True
