scenario_type,task,class_name,eligibility_level,configuration_count,eligible_subjects_min,eligible_subjects_p10,eligible_subjects_median,eligible_subjects_p90,eligible_subjects_max,configurations_with_M_lt_3,M_ge_3_pass_rate,scored_class_trials_min,scored_class_trials_median,class_unique_videos_min,class_videos_with_ge3_subjects_min,uniform_trio_acceptance_probability_median,uniform_trio_acceptance_probability_min,expected_resampling_attempts_max_finite
inner_joint,arousal,high,minimal_2trials,180,0,0.0,1.0,3.0,5,156,0.13333333333333333,0,4.0,0,0,0.0,0.0,56.0
inner_joint,arousal,high,strong_2trials_2videos,180,0,0.0,1.0,3.0,5,156,0.13333333333333333,0,4.0,0,0,0.0,0.0,56.0
inner_joint,arousal,high,weak_1trial,180,0,1.0,3.0,5.0,6,72,0.6,0,4.0,0,0,0.017857142857142856,0.0,56.0
inner_joint,arousal,low,minimal_2trials,180,0,0.0,1.0,2.0,3,176,0.022222222222222223,0,4.0,0,0,0.0,0.0,56.0
inner_joint,arousal,low,strong_2trials_2videos,180,0,0.0,1.0,2.0,3,176,0.022222222222222223,0,4.0,0,0,0.0,0.0,56.0
inner_joint,arousal,low,weak_1trial,180,0,1.0,3.0,5.0,6,72,0.6,0,4.0,0,0,0.017857142857142856,0.0,56.0
inner_joint,valence,high,minimal_2trials,180,0,0.0,0.0,1.0,1,180,0.0,0,2.0,0,0,0.0,0.0,
inner_joint,valence,high,strong_2trials_2videos,180,0,0.0,0.0,1.0,1,180,0.0,0,2.0,0,0,0.0,0.0,
inner_joint,valence,high,weak_1trial,180,0,0.0,2.0,4.0,5,100,0.4444444444444444,0,2.0,0,0,0.0,0.0,56.0
inner_joint,valence,low,minimal_2trials,180,0,0.0,1.0,3.0,5,152,0.15555555555555556,1,5.0,1,0,0.0,0.0,56.0
inner_joint,valence,low,strong_2trials_2videos,180,0,0.0,1.0,3.0,5,152,0.15555555555555556,1,5.0,1,0,0.0,0.0,56.0
inner_joint,valence,low,weak_1trial,180,1,2.0,4.0,7.0,8,24,0.8666666666666667,1,5.0,1,0,0.07142857142857142,0.0,56.0
