repetition,role,held_subject_fold,held_video_fold,outer_cell,source_subjects,source_videos,source_rows,test_subjects,test_videos,test_rows,task,label_policy,source_scored_rows,source_low,source_high,source_both_classes,anchor_count,donor_min,donor_p10,donor_median,donor_max,zero_donor_rate,below_5_rate,below_20_rate,unique_subject_min,unique_video_min,unique_quadrant_min,same_quadrant_donor_fraction_median
0,primary,1,1,R00_S1_V1,11,10,24,8,6,19,valence,discard_midpoint,21,17,4,True,21,2,3.0,12.0,15,0.0,0.19047619047619047,1.0,2,2,1,0.4166666666666667
0,primary,1,1,R00_S1_V1,11,10,24,8,6,19,valence,midpoint_as_low,24,20,4,True,24,2,3.0,14.0,17,0.0,0.16666666666666666,1.0,2,2,1,0.5
0,primary,1,1,R00_S1_V1,11,10,24,8,6,19,valence,midpoint_as_high,24,17,7,True,24,5,5.0,12.0,15,0.0,0.0,1.0,4,4,2,0.3666666666666667
0,primary,1,1,R00_S1_V1,11,10,24,8,6,19,arousal,discard_midpoint,22,15,7,True,22,3,3.0,10.0,14,0.0,0.22727272727272727,1.0,2,1,1,0.38461538461538464
0,primary,1,1,R00_S1_V1,11,10,24,8,6,19,arousal,midpoint_as_low,24,17,7,True,24,3,3.0,12.0,16,0.0,0.20833333333333334,1.0,2,1,1,0.34523809523809523
0,primary,1,1,R00_S1_V1,11,10,24,8,6,19,arousal,midpoint_as_high,24,15,9,True,24,5,5.0,9.5,14,0.0,0.0,1.0,3,3,2,0.38461538461538464
0,primary,1,2,R00_S1_V2,16,11,45,7,3,9,valence,discard_midpoint,35,26,9,True,35,3,4.0,20.0,24,0.0,0.14285714285714285,0.4857142857142857,2,2,1,0.5
0,primary,1,2,R00_S1_V2,16,11,45,7,3,9,valence,midpoint_as_low,45,36,9,True,45,3,4.800000000000001,29.0,34,0.0,0.1111111111111111,0.2,2,2,1,0.4444444444444444
0,primary,1,2,R00_S1_V2,16,11,45,7,3,9,valence,midpoint_as_high,45,26,19,True,45,12,13.4,19.0,24,0.0,0.0,0.6,8,6,2,0.47619047619047616
0,primary,1,2,R00_S1_V2,16,11,45,7,3,9,arousal,discard_midpoint,35,21,14,True,35,9,10.0,15.0,20,0.0,0.0,0.9714285714285714,7,4,2,0.2727272727272727
