repetition,role,outer_cell,inner_id,held_subject_fold,held_video_fold,train_subject_fold,train_video_fold,validation_subject_fold,validation_video_fold,inner_train_subjects,inner_train_videos,inner_train_rows,inner_validation_subjects,inner_validation_videos,inner_validation_rows,task,label_policy,inner_train_scored,inner_train_low,inner_train_high,inner_train_both_classes,inner_validation_scored,inner_validation_low,inner_validation_high,inner_validation_both_classes,donor_anchor_count,donor_donor_min,donor_donor_p10,donor_donor_median,donor_donor_max,donor_zero_donor_rate,donor_below_5_rate,donor_below_20_rate,donor_unique_subject_min,donor_unique_video_min,donor_unique_quadrant_min,donor_same_quadrant_donor_fraction_median,donor_operational,inner_joint_operational
0,primary,R00_S1_V1,R00_S1_V1_train_S2_V2,1,1,2,2,3,3,5,5,6,4,2,4,valence,discard_midpoint,5,4,1,True,3,3,0,False,5,0,0.8,2.0,2,0.2,1.0,1.0,0,0,0,0.5,False,False
0,primary,R00_S1_V1,R00_S1_V1_train_S2_V2,1,1,2,2,3,3,5,5,6,4,2,4,valence,midpoint_as_low,6,5,1,True,4,4,0,False,6,0,1.5,3.0,4,0.16666666666666666,1.0,1.0,0,0,0,0.6666666666666666,False,False
0,primary,R00_S1_V1,R00_S1_V1_train_S2_V2,1,1,2,2,3,3,5,5,6,4,2,4,valence,midpoint_as_high,6,4,2,True,4,3,1,True,6,1,1.0,2.0,2,0.0,1.0,1.0,1,1,1,0.25,True,True
0,primary,R00_S1_V1,R00_S1_V1_train_S2_V2,1,1,2,2,3,3,5,5,6,4,2,4,arousal,discard_midpoint,5,4,1,True,4,3,1,True,5,0,0.8,2.0,3,0.2,1.0,1.0,0,0,0,0.41666666666666663,False,False
0,primary,R00_S1_V1,R00_S1_V1_train_S2_V2,1,1,2,2,3,3,5,5,6,4,2,4,arousal,midpoint_as_low,6,5,1,True,4,3,1,True,6,0,1.5,3.5,4,0.16666666666666666,1.0,1.0,0,0,0,0.5,False,False
0,primary,R00_S1_V1,R00_S1_V1_train_S2_V2,1,1,2,2,3,3,5,5,6,4,2,4,arousal,midpoint_as_high,6,4,2,True,4,3,1,True,6,1,1.0,2.0,3,0.0,1.0,1.0,1,1,1,0.5,True,True
0,primary,R00_S1_V1,R00_S1_V1_train_S2_V3,1,1,2,3,3,2,4,5,8,6,3,6,valence,discard_midpoint,7,6,1,True,6,4,2,True,7,0,1.8000000000000003,3.0,5,0.14285714285714285,0.8571428571428571,1.0,0,0,0,0.3333333333333333,False,False
0,primary,R00_S1_V1,R00_S1_V1_train_S2_V3,1,1,2,3,3,2,4,5,8,6,3,6,valence,midpoint_as_low,8,7,1,True,6,4,2,True,8,0,2.1,3.5,5,0.125,0.625,1.0,0,0,0,0.3333333333333333,False,False
0,primary,R00_S1_V1,R00_S1_V1_train_S2_V3,1,1,2,3,3,2,4,5,8,6,3,6,valence,midpoint_as_high,8,6,2,True,6,4,2,True,8,1,1.0,3.0,5,0.0,0.875,1.0,1,1,1,0.29166666666666663,True,True
0,primary,R00_S1_V1,R00_S1_V1_train_S2_V3,1,1,2,3,3,2,4,5,8,6,3,6,arousal,discard_midpoint,7,6,1,True,6,2,4,True,7,0,1.2000000000000002,3.0,4,0.14285714285714285,1.0,1.0,0,0,0,0.5,False,False
0,primary,R00_S1_V1,R00_S1_V1_train_S2_V3,1,1,2,3,3,2,4,5,8,6,3,6,arousal,midpoint_as_low,8,7,1,True,6,2,4,True,8,0,2.1,3.5,5,0.125,0.875,1.0,0,0,0,0.3333333333333333,False,False
0,primary,R00_S1_V1,R00_S1_V1_train_S2_V3,1,1,2,3,3,2,4,5,8,6,3,6,arousal,midpoint_as_high,8,6,2,True,6,2,4,True,8,1,1.0,2.5,4,0.0,1.0,1.0,1,1,1,0.41666666666666663,True,True
0,primary,R00_S1_V1,R00_S1_V1_train_S3_V2,1,1,3,2,2,3,6,3,6,4,5,8,valence,discard_midpoint,6,4,2,True,7,6,1,True,6,1,1.0,1.0,3,0.0,1.0,1.0,1,1,1,1.0,True,True
