presentation_id,participant_id,session_id,participant_session_key,video_name,canonical_quadrant,duration_sec,candidate_5s_windows,paired_valid_5s_windows,paired_window_fraction,minimum_two_windows,minimum_eeg_window_coverage,minimum_emg_window_coverage,raw_scan_mode,raw_error
P001_S001_p2,P001,S001,P001_S001,The Champ,C,181.0,36,36,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P001_S001_p3,P001,S001,P001_S001,Scream,B,216.0,43,43,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P001_S001_p4,P001,S001,P001_S001,The Visitors,A,130.0,26,26,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P001_S002_p2,P001,S002,P001_S002,The Exorcist,B,101.0,20,20,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P001_S002_p3,P001,S002,P001_S002,Life is beautiful,C,127.0,25,25,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P001_S002_p4,P001,S002,P001_S002,There is something about Mary 2,A,146.0,29,29,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P002_S001_p2,P002,S001,P002_S001,28 days later,B,172.0,34,34,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P002_S001_p3,P002,S001,P002_S001,Mr. Bean,A,159.0,31,31,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P002_S001_p4,P002,S001,P002_S001,Dangerous Minds,C,143.0,28,28,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P002_S002_p2,P002,S002,P002_S002,When Harry met Sally,A,172.0,34,34,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P002_S002_p3,P002,S002,P002_S002,Scream,B,216.0,43,43,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P002_S002_p4,P002,S002,P002_S002,My girl,C,199.0,39,39,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P003_S001_p2,P003,S001,P003_S001,There is something about Mary,A,174.0,34,34,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P003_S001_p3,P003,S001,P003_S001,My girl,C,199.0,39,39,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P003_S001_p4,P003,S001,P003_S001,The Shining,B,165.0,33,33,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P004_S001_p2,P004,S001,P004_S001,Scream,B,216.0,43,43,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P004_S001_p3,P004,S001,P004_S001,Mr. Bean,A,159.0,31,31,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P004_S001_p4,P004,S001,P004_S001,The Champ,C,181.0,36,36,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P005_S001_p2,P005,S001,P005_S001,The Visitors,A,130.0,26,26,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P005_S001_p3,P005,S001,P005_S001,The Champ,C,181.0,36,36,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P005_S001_p4,P005,S001,P005_S001,Misery,B,220.0,44,44,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P006_S001_p2,P006,S001,P006_S001,There is something about Mary,A,174.0,34,34,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P006_S001_p3,P006,S001,P006_S001,The Champ,C,181.0,36,36,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P006_S001_p4,P006,S001,P006_S001,The Shining,B,165.0,33,33,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P007_S001_p2,P007,S001,P007_S001,28 days later,B,172.0,34,34,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P007_S001_p3,P007,S001,P007_S001,My girl,C,199.0,39,39,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P007_S001_p4,P007,S001,P007_S001,When Harry met Sally,A,172.0,34,34,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P007_S002_p2,P007,S002,P007_S002,Mr. Bean,A,159.0,31,31,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P007_S002_p3,P007,S002,P007_S002,Misery,B,220.0,44,44,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P007_S002_p4,P007,S002,P007_S002,Dangerous Minds,C,143.0,28,28,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P008_S001_p2,P008,S001,P008_S001,My girl,C,199.0,39,39,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P008_S001_p3,P008,S001,P008_S001,The Shining,B,165.0,33,33,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P008_S001_p4,P008,S001,P008_S001,When Harry met Sally,A,172.0,34,34,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P009_S001_p2,P009,S001,P009_S001,My girl,C,199.0,39,39,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P009_S001_p3,P009,S001,P009_S001,28 days later,B,172.0,34,34,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P009_S001_p4,P009,S001,P009_S001,There is something about Mary,A,174.0,34,34,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P009_S002_p2,P009,S002,P009_S002,Misery,B,220.0,44,44,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P009_S002_p3,P009,S002,P009_S002,Dangerous Minds,C,143.0,28,28,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P009_S002_p4,P009,S002,P009_S002,Mr. Bean,A,159.0,31,31,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P010_S001_p2,P010,S001,P010_S001,There is something about Mary,A,174.0,34,34,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P010_S001_p3,P010,S001,P010_S001,The Shining,B,165.0,33,33,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P010_S001_p4,P010,S001,P010_S001,The Champ,C,181.0,36,36,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P011_S001_p2,P011,S001,P011_S001,When Harry met Sally,A,172.0,34,34,1.0,True,0.9993333333333333,0.998046875,RAW_XDF,
P011_S001_p3,P011,S001,P011_S001,Misery,B,220.0,44,44,1.0,True,0.9993333333333333,0.998046875,RAW_XDF,
P011_S001_p4,P011,S001,P011_S001,My girl,C,199.0,39,39,1.0,True,0.9993333333333333,0.998046875,RAW_XDF,
P011_S002_p2,P011,S002,P011_S002,The Visitors,A,130.0,26,26,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P011_S002_p3,P011,S002,P011_S002,The Champ,C,181.0,36,36,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P011_S002_p4,P011,S002,P011_S002,Scream,B,216.0,43,43,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P013_S001_p2,P013,S001,P013_S001,28 days later,B,172.0,34,34,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P013_S001_p3,P013,S001,P013_S001,When Harry met Sally,A,172.0,34,34,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P013_S001_p4,P013,S001,P013_S001,My girl,C,199.0,39,39,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P014_S001_p2,P014,S001,P014_S001,Misery,B,220.0,44,44,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P014_S001_p3,P014,S001,P014_S001,There is something about Mary,A,174.0,34,34,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P014_S001_p4,P014,S001,P014_S001,Dangerous Minds,C,143.0,28,28,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P016_S001_p2,P016,S001,P016_S001,28 days later,B,172.0,34,34,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P016_S001_p3,P016,S001,P016_S001,The Champ,C,181.0,36,36,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P016_S001_p4,P016,S001,P016_S001,Mr. Bean,A,159.0,31,31,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P017_S001_p2,P017,S001,P017_S001,Dangerous Minds,C,143.0,28,28,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P017_S001_p3,P017,S001,P017_S001,The Shining,B,165.0,33,33,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P017_S001_p4,P017,S001,P017_S001,Mr. Bean,A,159.0,31,31,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P017_S002_p2,P017,S002,P017_S002,The Shining 2,B,266.0,53,53,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P017_S002_p3,P017,S002,P017_S002,Fish called Wanda,A,180.0,36,36,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P017_S002_p4,P017,S002,P017_S002,Life is beautiful,C,127.0,25,25,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P018_S001_p2,P018,S001,P018_S001,The Champ,C,181.0,36,36,1.0,True,0.9993333333333333,0.99765625,RAW_XDF,
P018_S001_p3,P018,S001,P018_S001,28 days later,B,172.0,34,34,1.0,True,0.9993333333333333,0.99765625,RAW_XDF,
P018_S001_p4,P018,S001,P018_S001,The Visitors,A,130.0,26,26,1.0,True,0.9993333333333333,0.99765625,RAW_XDF,
P021_S001_p2,P021,S001,P021_S001,Scream,B,216.0,43,43,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P021_S001_p3,P021,S001,P021_S001,The Visitors,A,130.0,26,26,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P021_S001_p4,P021,S001,P021_S001,Dangerous Minds,C,143.0,28,28,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P022_S001_p2,P022,S001,P022_S001,The Visitors,A,130.0,26,26,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P022_S001_p3,P022,S001,P022_S001,My girl,C,199.0,39,39,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P022_S001_p4,P022,S001,P022_S001,Misery,B,220.0,44,44,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P023_S001_p2,P023,S001,P023_S001,My girl,C,199.0,39,39,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P023_S001_p3,P023,S001,P023_S001,Misery,B,220.0,44,44,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P023_S001_p4,P023,S001,P023_S001,Mr. Bean,A,159.0,31,31,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P024_S001_p2,P024,S001,P024_S001,The Visitors,A,130.0,26,26,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P024_S001_p3,P024,S001,P024_S001,The Champ,C,181.0,36,36,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P024_S001_p4,P024,S001,P024_S001,Misery,B,220.0,44,44,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P025_S001_p2,P025,S001,P025_S001,The Visitors,A,130.0,26,26,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P025_S001_p3,P025,S001,P025_S001,28 days later,B,172.0,34,34,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P025_S001_p4,P025,S001,P025_S001,Dangerous Minds,C,143.0,28,28,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P026_S001_p2,P026,S001,P026_S001,Mr. Bean,A,159.0,31,31,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P026_S001_p3,P026,S001,P026_S001,28 days later,B,172.0,34,34,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P026_S001_p4,P026,S001,P026_S001,Dangerous Minds,C,143.0,28,28,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P027_S001_p2,P027,S001,P027_S001,The Champ,C,181.0,36,36,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P027_S001_p3,P027,S001,P027_S001,Scream,B,216.0,43,43,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P027_S001_p4,P027,S001,P027_S001,The Visitors,A,130.0,26,26,1.0,True,0.9993333333333333,0.9984375,RAW_XDF,
P028_S001_p2,P028,S001,P028_S001,Misery,B,220.0,44,44,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P028_S001_p3,P028,S001,P028_S001,The Champ,C,181.0,36,36,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
P028_S001_p4,P028,S001,P028_S001,The Visitors,A,130.0,26,26,1.0,True,0.9993333333333333,0.999609375,RAW_XDF,
