task,policy,emotional_position,retained,low,high,high_prevalence,mean_score
valence,discard_midpoint,1,29,19,10,0.3448275862068966,4.241379310344827
valence,discard_midpoint,2,22,19,3,0.13636363636363635,2.8181818181818183
valence,discard_midpoint,3,24,15,9,0.375,4.208333333333333
valence,midpoint_as_low,1,30,20,10,0.3333333333333333,4.266666666666667
valence,midpoint_as_low,2,30,27,3,0.1,3.4
valence,midpoint_as_low,3,30,21,9,0.3,4.366666666666666
valence,midpoint_as_high,1,30,19,11,0.36666666666666664,4.266666666666667
valence,midpoint_as_high,2,30,19,11,0.36666666666666664,3.4
valence,midpoint_as_high,3,30,15,15,0.5,4.366666666666666
arousal,discard_midpoint,1,24,10,14,0.5833333333333334,5.375
arousal,discard_midpoint,2,23,10,13,0.5652173913043478,5.217391304347826
arousal,discard_midpoint,3,24,13,11,0.4583333333333333,5.041666666666667
arousal,midpoint_as_low,1,30,16,14,0.4666666666666667,5.3
arousal,midpoint_as_low,2,30,17,13,0.43333333333333335,5.166666666666667
arousal,midpoint_as_low,3,30,19,11,0.36666666666666664,5.033333333333333
arousal,midpoint_as_high,1,30,10,20,0.6666666666666666,5.3
arousal,midpoint_as_high,2,30,10,20,0.6666666666666666,5.166666666666667
arousal,midpoint_as_high,3,30,13,17,0.5666666666666667,5.033333333333333
