repetition,role,region,task,policy,baseline,n,low,high,accuracy,balanced_accuracy,macro_f1,roc_auc,brier,n_unique,cells_evaluated,identity_prior_coverage
0,primary,joint_primary,valence,discard_midpoint,global_train_prior,75,53,22,0.7066666666666667,0.5,0.4140625,0.3769296740994854,0.22020145904095456,,,
0,primary,joint_primary,valence,discard_midpoint,position_train_prior,75,53,22,0.6,0.43782161234991424,0.4041313559322034,0.47084048027444253,0.25024588683435395,,,
0,primary,joint_primary,valence,discard_midpoint,position_quadratic_logistic,75,53,22,0.6,0.43782161234991424,0.4041313559322034,0.4712692967409949,0.2502263546999089,,,
0,primary,joint_primary,valence,midpoint_as_low,global_train_prior,90,68,22,0.7555555555555555,0.5,0.43037974683544306,0.3953877005347593,0.19322134271741168,,,
0,primary,joint_primary,valence,midpoint_as_low,position_train_prior,90,68,22,0.7111111111111111,0.4859625668449198,0.450187969924812,0.4949866310160428,0.2146889376075697,,,
0,primary,joint_primary,valence,midpoint_as_low,position_quadratic_logistic,90,68,22,0.7111111111111111,0.4859625668449198,0.450187969924812,0.4959893048128342,0.21468783534640257,,,
0,primary,joint_primary,valence,midpoint_as_high,global_train_prior,90,53,37,0.5444444444444444,0.4704232534421214,0.3925925925925926,0.4612442631310556,0.24942281732731328,,,
0,primary,joint_primary,valence,midpoint_as_high,position_train_prior,90,53,37,0.5,0.44900560938296785,0.42233632862644416,0.4668536460989291,0.26756741760536473,,,
0,primary,joint_primary,valence,midpoint_as_high,position_quadratic_logistic,90,53,37,0.5,0.4449260581336053,0.4109090909090909,0.46506884242733304,0.26756945592748765,,,
0,primary,joint_primary,arousal,discard_midpoint,global_train_prior,71,33,38,0.30985915492957744,0.3074162679425837,0.30766169154228856,0.22727272727272724,0.3363541120159414,,,
0,primary,joint_primary,arousal,discard_midpoint,position_train_prior,71,33,38,0.29577464788732394,0.30023923444976075,0.29451510333863273,0.2763157894736842,0.37323269340460197,,,
0,primary,joint_primary,arousal,discard_midpoint,position_quadratic_logistic,71,33,38,0.30985915492957744,0.319377990430622,0.3009845288326301,0.27232854864433814,0.37327112393487466,,,
0,primary,joint_primary,arousal,midpoint_as_low,global_train_prior,90,52,38,0.3888888888888889,0.3648785425101215,0.3603824783563768,0.32186234817813764,0.2829118669699413,,,
0,primary,joint_primary,arousal,midpoint_as_low,position_train_prior,90,52,38,0.4666666666666667,0.4144736842105263,0.3650793650793651,0.3297064777327935,0.3086621009262689,,,
0,primary,joint_primary,arousal,midpoint_as_low,position_quadratic_logistic,90,52,38,0.4666666666666667,0.4144736842105263,0.3650793650793651,0.3223684210526316,0.30867220663701544,,,
0,primary,joint_primary,arousal,midpoint_as_high,global_train_prior,90,33,57,0.4666666666666667,0.3811802232854864,0.35096153846153844,0.23444976076555024,0.31351424206246736,,,
0,primary,joint_primary,arousal,midpoint_as_high,position_train_prior,90,33,57,0.4666666666666667,0.40669856459330145,0.4,0.28601807549175967,0.3349511029614091,,,
0,primary,joint_primary,arousal,midpoint_as_high,position_quadratic_logistic,90,33,57,0.4111111111111111,0.3628389154704944,0.36187290969899666,0.2801701222753854,0.3349394896845992,,,
1,sensitivity,joint_primary,valence,discard_midpoint,global_train_prior,75,53,22,0.7066666666666667,0.5,0.4140625,0.41080617495711835,0.2200141223545707,,,
1,sensitivity,joint_primary,valence,discard_midpoint,position_train_prior,75,53,22,0.6266666666666667,0.4832761578044597,0.46754563894523327,0.47813036020583194,0.2399036788545294,,,
1,sensitivity,joint_primary,valence,discard_midpoint,position_quadratic_logistic,75,53,22,0.6266666666666667,0.4832761578044597,0.46754563894523327,0.47341337907375647,0.2399092768001608,,,
1,sensitivity,joint_primary,valence,midpoint_as_low,global_train_prior,90,68,22,0.7555555555555555,0.5,0.43037974683544306,0.4344919786096257,0.19169388332250561,,,
1,sensitivity,joint_primary,valence,midpoint_as_low,position_train_prior,90,68,22,0.7444444444444445,0.5233957219251337,0.4989106753812636,0.5183823529411764,0.1991711939290495,,,
1,sensitivity,joint_primary,valence,midpoint_as_low,position_quadratic_logistic,90,68,22,0.7444444444444445,0.5233957219251337,0.4989106753812636,0.5143716577540107,0.199168660513942,,,
1,sensitivity,joint_primary,valence,midpoint_as_high,global_train_prior,90,53,37,0.5444444444444444,0.474502804691484,0.40969444888817785,0.3921468638449771,0.2593325787381952,,,
1,sensitivity,joint_primary,valence,midpoint_as_high,position_train_prior,90,53,37,0.5111111111111111,0.4747577766445691,0.4665948275862069,0.4133095359510454,0.2739492253211751,,,
1,sensitivity,joint_primary,valence,midpoint_as_high,position_quadratic_logistic,90,53,37,0.5111111111111111,0.46251912289648134,0.4403617863199548,0.4122896481387047,0.2739564750334369,,,
1,sensitivity,joint_primary,arousal,discard_midpoint,global_train_prior,71,33,38,0.5492957746478874,0.5211323763955342,0.44313725490196076,0.4800637958532695,0.24991779893080832,,,
1,sensitivity,joint_primary,arousal,discard_midpoint,position_train_prior,71,33,38,0.5774647887323944,0.567384370015949,0.562807881773399,0.5761562998405103,0.24552776892807165,,,
1,sensitivity,joint_primary,arousal,discard_midpoint,position_quadratic_logistic,71,33,38,0.5774647887323944,0.5733652312599681,0.5733173076923077,0.5721690590111643,0.24553208772769192,,,
1,sensitivity,joint_primary,arousal,midpoint_as_low,global_train_prior,90,52,38,0.45555555555555555,0.4190283400809717,0.4017094017094017,0.38208502024291496,0.2626860255846375,,,
1,sensitivity,joint_primary,arousal,midpoint_as_low,position_train_prior,90,52,38,0.5,0.47520242914979755,0.4712103407755582,0.44939271255060725,0.2629672967897221,,,
1,sensitivity,joint_primary,arousal,midpoint_as_low,position_quadratic_logistic,90,52,38,0.5,0.47520242914979755,0.4712103407755582,0.45015182186234814,0.2629697368502457,,,
1,sensitivity,joint_primary,arousal,midpoint_as_high,global_train_prior,90,33,57,0.6333333333333333,0.5,0.3877551020408163,0.47607655502392343,0.23642586380911274,,,
1,sensitivity,joint_primary,arousal,midpoint_as_high,position_train_prior,90,33,57,0.6333333333333333,0.5191387559808612,0.45990180032733224,0.5101010101010102,0.2388335212153131,,,
1,sensitivity,joint_primary,arousal,midpoint_as_high,position_quadratic_logistic,90,33,57,0.5777777777777777,0.48165869218500795,0.445165476963011,0.5042530568846358,0.23883498396493813,,,
2,sensitivity,joint_primary,valence,discard_midpoint,global_train_prior,75,53,22,0.7066666666666667,0.5,0.4140625,0.3370497427101201,0.22991446671787263,,,
2,sensitivity,joint_primary,valence,discard_midpoint,position_train_prior,75,53,22,0.5866666666666667,0.4416809605488851,0.422360248447205,0.44768439108061747,0.2500704645864736,,,
2,sensitivity,joint_primary,valence,discard_midpoint,position_quadratic_logistic,75,53,22,0.6,0.43782161234991424,0.4041313559322034,0.4395368782161235,0.2500567542507584,,,
2,sensitivity,joint_primary,valence,midpoint_as_low,global_train_prior,90,68,22,0.7555555555555555,0.5,0.43037974683544306,0.34759358288770054,0.20300081119722302,,,
2,sensitivity,joint_primary,valence,midpoint_as_low,position_train_prior,90,68,22,0.6333333333333333,0.43449197860962563,0.4147783251231527,0.4732620320855615,0.21604704354247012,,,
2,sensitivity,joint_primary,valence,midpoint_as_low,position_quadratic_logistic,90,68,22,0.6333333333333333,0.43449197860962563,0.4147783251231527,0.4685828877005348,0.21606251372276347,,,
2,sensitivity,joint_primary,valence,midpoint_as_high,global_train_prior,90,53,37,0.5333333333333333,0.46506884242733304,0.4034090909090909,0.390362060173381,0.2545296306964598,,,
2,sensitivity,joint_primary,valence,midpoint_as_high,position_train_prior,90,53,37,0.4888888888888889,0.43549209586945437,0.40380184331797236,0.4362570117287099,0.2721490559285296,,,
2,sensitivity,joint_primary,valence,midpoint_as_high,position_quadratic_logistic,90,53,37,0.5111111111111111,0.4502804691483937,0.4050480769230769,0.4431412544620092,0.27214655424880846,,,
2,sensitivity,joint_primary,arousal,discard_midpoint,global_train_prior,71,33,38,0.36619718309859156,0.36004784688995217,0.35804701627486435,0.30462519936204147,0.33037953301797485,,,
2,sensitivity,joint_primary,arousal,discard_midpoint,position_train_prior,71,33,38,0.30985915492957744,0.3074162679425837,0.30766169154228856,0.32376395534290275,0.3574345129572825,,,
2,sensitivity,joint_primary,arousal,discard_midpoint,position_quadratic_logistic,71,33,38,0.30985915492957744,0.3074162679425837,0.30766169154228856,0.32216905901116427,0.35744274220740774,,,
2,sensitivity,joint_primary,arousal,midpoint_as_low,global_train_prior,90,52,38,0.4111111111111111,0.36285425101214575,0.3196405648267009,0.3188259109311741,0.2990853206517689,,,
2,sensitivity,joint_primary,arousal,midpoint_as_low,position_train_prior,90,52,38,0.45555555555555555,0.42611336032388664,0.4175141989169198,0.4063765182186234,0.29313688186152226,,,
2,sensitivity,joint_primary,arousal,midpoint_as_low,position_quadratic_logistic,90,52,38,0.45555555555555555,0.42611336032388664,0.4175141989169198,0.40106275303643724,0.2931409501756108,,,
2,sensitivity,joint_primary,arousal,midpoint_as_high,global_train_prior,90,33,57,0.4444444444444444,0.4019138755980861,0.4019138755980861,0.32695374800637955,0.27744513612884625,,,
2,sensitivity,joint_primary,arousal,midpoint_as_high,position_train_prior,90,33,57,0.5222222222222223,0.4441786283891547,0.4250482840588323,0.2692716640085061,0.31958296642237305,,,
2,sensitivity,joint_primary,arousal,midpoint_as_high,position_quadratic_logistic,90,33,57,0.5222222222222223,0.4441786283891547,0.4250482840588323,0.26794258373205737,0.31960155236389465,,,
3,sensitivity,joint_primary,valence,discard_midpoint,global_train_prior,75,53,22,0.7066666666666667,0.5,0.4140625,0.4305317324185248,0.21429566315769596,,,
3,sensitivity,joint_primary,valence,discard_midpoint,position_train_prior,75,53,22,0.6933333333333334,0.5038593481989708,0.44799999999999995,0.4566895368782161,0.23317223382383523,,,
3,sensitivity,joint_primary,valence,discard_midpoint,position_quadratic_logistic,75,53,22,0.7066666666666667,0.5,0.4140625,0.46269296740994864,0.2331746908183994,,,
3,sensitivity,joint_primary,valence,midpoint_as_low,global_train_prior,90,68,22,0.7555555555555555,0.5,0.43037974683544306,0.4358288770053476,0.18995589373698338,,,
3,sensitivity,joint_primary,valence,midpoint_as_low,position_train_prior,90,68,22,0.7555555555555555,0.5,0.43037974683544306,0.5414438502673796,0.1949296607353306,,,
3,sensitivity,joint_primary,valence,midpoint_as_low,position_quadratic_logistic,90,68,22,0.7555555555555555,0.5,0.43037974683544306,0.5437834224598931,0.19492204667132418,,,
3,sensitivity,joint_primary,valence,midpoint_as_high,global_train_prior,90,53,37,0.5888888888888889,0.5,0.3706293706293706,0.43472718001019883,0.24721922855504444,,,
3,sensitivity,joint_primary,valence,midpoint_as_high,position_train_prior,90,53,37,0.5333333333333333,0.5058643549209587,0.5036764705882353,0.4467108618052015,0.2802592837496997,,,
3,sensitivity,joint_primary,valence,midpoint_as_high,position_quadratic_logistic,90,53,37,0.5111111111111111,0.4747577766445691,0.4665948275862069,0.44849566547679753,0.2802479611028622,,,
3,sensitivity,joint_primary,arousal,discard_midpoint,global_train_prior,71,33,38,0.5352112676056338,0.5239234449760766,0.5164086687306502,0.45414673046251985,0.26630920155959936,,,
3,sensitivity,joint_primary,arousal,discard_midpoint,position_train_prior,71,33,38,0.4647887323943662,0.46012759170653905,0.4595352564102564,0.4433811802232855,0.30670944928504273,,,
3,sensitivity,joint_primary,arousal,discard_midpoint,position_quadratic_logistic,71,33,38,0.4647887323943662,0.46012759170653905,0.4595352564102564,0.4421850079744817,0.3067068912112509,,,
