participant,session_count,sessions,raw_xdf_files,preprocessed_hdf5_files,segment_files
P001,2,S001;S002,2,0,14
P002,2,S001;S002,2,0,14
P003,1,S001,1,0,7
P004,1,S001,1,0,7
P005,1,S001,1,0,7
P006,1,S001,1,0,7
P007,2,S001;S002,2,0,14
P008,1,S001,1,0,7
P009,2,S001;S002,2,0,14
P010,1,S001,1,0,7
P011,2,S001;S002,2,0,14
P012,1,S001,1,0,7
P013,1,S001,1,0,7
P014,1,S001,1,0,7
P015,1,S001,1,0,7
P016,1,S001,1,0,7
P017,2,S001;S002,2,0,14
P018,1,S001,1,0,7
P019,1,S001,1,0,7
P020,1,S001,1,0,7
P021,1,S001,1,0,7
P022,1,S001,1,0,7
P023,1,S001,1,0,7
P024,1,S001,1,0,7
P025,1,S001,1,0,7
P026,1,S001,1,0,7
P027,1,S001,1,0,7
P028,1,S001,1,0,7
