entity_type,entity_id,repetition,role,fold,participant_sessions,observed_emotional_presentations,seed
video,28 days later,0,primary,2,8,8,7980066465758717236
video,Dangerous Minds,0,primary,3,8,8,7980066465758717236
video,Fish called Wanda,0,primary,2,1,1,7980066465758717236
video,Life is beautiful,0,primary,3,2,2,7980066465758717236
video,Misery,0,primary,1,9,9,7980066465758717236
video,Mr. Bean,0,primary,1,8,8,7980066465758717236
video,My girl,0,primary,1,9,9,7980066465758717236
video,Scream,0,primary,2,6,6,7980066465758717236
video,The Champ,0,primary,1,11,11,7980066465758717236
video,The Exorcist,0,primary,3,1,1,7980066465758717236
video,The Shining,0,primary,3,5,5,7980066465758717236
video,The Shining 2,0,primary,2,1,1,7980066465758717236
video,The Visitors,0,primary,1,10,10,7980066465758717236
video,There is something about Mary,0,primary,2,5,5,7980066465758717236
video,There is something about Mary 2,0,primary,3,1,1,7980066465758717236
video,When Harry met Sally,0,primary,1,5,5,7980066465758717236
