dataset,cohort,participant_id,session_id,participant_session_key,presentation_rows,strict_presentation_rows,transition_rows,strict_transition_rows,include_in_cohort_b,exclusion_reason
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P001,S001,P001_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P001,S002,P001_S002,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P002,S001,P002_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P002,S002,P002_S002,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P003,S001,P003_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P004,S001,P004_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P005,S001,P005_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P006,S001,P006_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P007,S001,P007_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P007,S002,P007_S002,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P008,S001,P008_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P009,S001,P009_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P009,S002,P009_S002,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P010,S001,P010_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P011,S001,P011_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P011,S002,P011_S002,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P012,S001,P012_S001,4,0,3,0,False,PRESENTATION_STRICT_FAIL_4;TRANSITION_STRICT_FAIL_3
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P013,S001,P013_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P014,S001,P014_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P015,S001,P015_S001,4,0,3,0,False,PRESENTATION_STRICT_FAIL_4;TRANSITION_STRICT_FAIL_3
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P016,S001,P016_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P017,S001,P017_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P017,S002,P017_S002,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P018,S001,P018_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P019,S001,P019_S001,4,0,3,0,False,PRESENTATION_STRICT_FAIL_4;TRANSITION_STRICT_FAIL_3
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P020,S001,P020_S001,4,0,3,0,False,PRESENTATION_STRICT_FAIL_4;TRANSITION_STRICT_FAIL_3
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P021,S001,P021_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P022,S001,P022_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P023,S001,P023_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P024,S001,P024_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P025,S001,P025_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P026,S001,P026_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P027,S001,P027_S001,4,4,3,3,True,
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P028,S001,P028_S001,4,4,3,3,True,
