dataset,participant_id,session_id,transition_position,previous_presentation_id,next_presentation_id,previous_video_name,next_video_name,previous_content_id,next_content_id,previous_quadrant,next_quadrant,transition_type,transition_start_sec,transition_end_sec,duration_sec,segment_file,segment_available,segment_valid,eeg_available,emg_available,ecg_available,gsr_available,chronological_order_verified,notes,raw_emg_unit_id,raw_emg_unit_type,participant_session_key,raw_emg_boundary_covered,raw_emg_observed_samples,raw_emg_expected_samples,raw_emg_sample_coverage_ratio,raw_emg_max_gap_sec,raw_emg_gap_ok,emg_ch1_finite_fraction,emg_ch2_finite_fraction,emg_ch1_exact_flatline,emg_ch2_exact_flatline,emg_ch1_low_variability_warning,emg_ch2_low_variability_warning,emg_ch1_std,emg_ch2_std,emg_ch1_robust_range,emg_ch2_robust_range,raw_emg_two_channel_eligible,raw_emg_one_channel_eligible,raw_emg_eligibility_reason
DEJA-VU,P001,S001,1,P001_S001_p1,P001_S001_p2,Clouds,The Champ,self-made_clouds,filmstim_the_champ,D,C,D_to_C,216.0,349.0,133.0,S001_transition_D_to_C_period.h5,True,True,True,True,True,True,True,,P001_S001_t1,transition,P001_S001,True,68009,68096,0.9987223919172933,0.0019556324696168303,True,1.0,1.0,False,False,False,False,0.03857878676706329,0.12381948357281153,0.20102691650390625,0.4746084213256836,True,True,PASS
DEJA-VU,P001,S001,2,P001_S001_p2,P001_S001_p3,The Champ,Scream,filmstim_the_champ,filmstim_scream,C,B,C_to_B,530.0,663.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,,P001_S001_t2,transition,P001_S001,True,68009,68096,0.9987223919172933,0.0019556324696168303,True,1.0,1.0,False,False,False,False,0.04059930617724681,0.15184903947040168,0.2088160514831543,0.5271854400634766,True,True,PASS
DEJA-VU,P001,S001,3,P001_S001_p3,P001_S001_p4,Scream,The Visitors,filmstim_scream,filmstim_the_visitors,B,A,B_to_A,879.0,1012.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,,P001_S001_t3,transition,P001_S001,True,68009,68096,0.9987223919172933,0.0019556324696168303,True,1.0,1.0,False,False,False,False,0.6783764899929258,0.10892732099438418,3.806074638366696,0.392578125,True,True,PASS
DEJA-VU,P001,S002,1,P001_S002_p1,P001_S002_p2,Clouds,The Exorcist,self-made_clouds,filmstim_the_exorcist,D,B,D_to_B,216.0,349.0,133.0,S002_transition_D_to_B_period.h5,True,True,True,True,True,True,True,,P001_S002_t1,transition,P001_S002,True,68094,68096,0.9999706296992481,0.0019531903380993754,True,1.0,1.0,False,False,False,False,0.14134531911837578,0.18063839876271354,0.44701148748397834,0.7909718894958502,True,True,PASS
DEJA-VU,P001,S002,2,P001_S002_p2,P001_S002_p3,The Exorcist,Life is beautiful,filmstim_the_exorcist,filmstim_life_is_beautiful,B,C,B_to_C,450.0,583.0,133.0,S002_transition_B_to_C_period.h5,True,True,True,True,True,True,True,,P001_S002_t2,transition,P001_S002,True,68094,68096,0.9999706296992481,0.0019531903380993754,True,1.0,1.0,False,False,False,False,0.1683113139069232,0.07992061800799202,0.5316822695732117,0.3907564353942874,True,True,PASS
DEJA-VU,P001,S002,3,P001_S002_p3,P001_S002_p4,Life is beautiful,There is something about Mary 2,filmstim_life_is_beautiful,filmstim_there_is_something_about_mary_2,C,A,C_to_A,710.0,843.0,133.0,S002_transition_C_to_A_period.h5,True,True,True,True,True,True,True,,P001_S002_t3,transition,P001_S002,True,68094,68096,0.9999706296992481,0.0019531903380993754,True,1.0,1.0,False,False,False,False,0.1478329208307646,0.13119113559027015,0.5256978607177734,0.5503714752197268,True,True,PASS
DEJA-VU,P002,S001,1,P002_S001_p1,P002_S001_p2,Clouds,28 days later,self-made_clouds,emostim_28_days_later,D,B,D_to_B,216.0,349.0,133.0,S001_transition_D_to_B_period.h5,True,True,True,True,True,True,True,,P002_S001_t1,transition,P002_S001,True,67995,68096,0.9985167998120301,0.0019560125656425953,True,1.0,1.0,False,False,False,False,0.037258334242369996,0.1726543116516509,0.15188957691192617,0.9183047103881847,True,True,PASS
DEJA-VU,P002,S001,2,P002_S001_p2,P002_S001_p3,28 days later,Mr. Bean,emostim_28_days_later,emostim_mr._bean,B,A,B_to_A,521.0,654.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,,P002_S001_t2,transition,P002_S001,True,67996,68096,0.9985314849624061,0.0019560125656425953,True,1.0,1.0,False,False,False,False,0.13830895208008423,0.14267665304037375,0.5789263725280762,0.7744930744171157,True,True,PASS
DEJA-VU,P002,S001,3,P002_S001_p3,P002_S001_p4,Mr. Bean,Dangerous Minds,emostim_mr._bean,"emostim,_filmstim_dangerous_minds",A,C,A_to_C,813.0,946.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,,P002_S001_t3,transition,P002_S001,True,67995,68096,0.9985167998120301,0.0019560125656425953,True,1.0,1.0,False,False,False,False,0.14050892479584748,0.12421096918948793,0.6151027750968932,0.7549310302734362,True,True,PASS
DEJA-VU,P002,S002,1,P002_S002_p1,P002_S002_p2,Clouds,When Harry met Sally,self-made_clouds,filmstim_when_harry_met_sally,D,A,D_to_A,216.0,349.0,133.0,S002_transition_D_to_A_period.h5,True,True,True,True,True,True,True,,P002_S002_t1,transition,P002_S002,True,68094,68096,0.9999706296992481,0.001953190061612986,True,1.0,1.0,False,False,False,False,0.04865789008200962,0.14989662659545774,0.22949607320129853,0.6020303106307985,True,True,PASS
