dataset,participant_id,session_id,transition_position,previous_presentation_id,next_presentation_id,previous_video_name,next_video_name,previous_content_id,next_content_id,previous_quadrant,next_quadrant,transition_type,transition_start_sec,transition_end_sec,duration_sec,segment_file,segment_available,segment_valid,eeg_available,emg_available,ecg_available,gsr_available,chronological_order_verified,notes
DEJA-VU,P001,S001,1,P001_S001_p1,P001_S001_p2,Clouds,The Champ,self-made_clouds,filmstim_the_champ,D,C,D_to_C,216.0,349.0,133.0,S001_transition_D_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P001,S001,2,P001_S001_p2,P001_S001_p3,The Champ,Scream,filmstim_the_champ,filmstim_scream,C,B,C_to_B,530.0,663.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P001,S001,3,P001_S001_p3,P001_S001_p4,Scream,The Visitors,filmstim_scream,filmstim_the_visitors,B,A,B_to_A,879.0,1012.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P001,S002,1,P001_S002_p1,P001_S002_p2,Clouds,The Exorcist,self-made_clouds,filmstim_the_exorcist,D,B,D_to_B,216.0,349.0,133.0,S002_transition_D_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P001,S002,2,P001_S002_p2,P001_S002_p3,The Exorcist,Life is beautiful,filmstim_the_exorcist,filmstim_life_is_beautiful,B,C,B_to_C,450.0,583.0,133.0,S002_transition_B_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P001,S002,3,P001_S002_p3,P001_S002_p4,Life is beautiful,There is something about Mary 2,filmstim_life_is_beautiful,filmstim_there_is_something_about_mary_2,C,A,C_to_A,710.0,843.0,133.0,S002_transition_C_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P002,S001,1,P002_S001_p1,P002_S001_p2,Clouds,28 days later,self-made_clouds,emostim_28_days_later,D,B,D_to_B,216.0,349.0,133.0,S001_transition_D_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P002,S001,2,P002_S001_p2,P002_S001_p3,28 days later,Mr. Bean,emostim_28_days_later,emostim_mr._bean,B,A,B_to_A,521.0,654.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P002,S001,3,P002_S001_p3,P002_S001_p4,Mr. Bean,Dangerous Minds,emostim_mr._bean,"emostim,_filmstim_dangerous_minds",A,C,A_to_C,813.0,946.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P002,S002,1,P002_S002_p1,P002_S002_p2,Clouds,When Harry met Sally,self-made_clouds,filmstim_when_harry_met_sally,D,A,D_to_A,216.0,349.0,133.0,S002_transition_D_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P002,S002,2,P002_S002_p2,P002_S002_p3,When Harry met Sally,Scream,filmstim_when_harry_met_sally,filmstim_scream,A,B,A_to_B,521.0,654.0,133.0,S002_transition_A_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P002,S002,3,P002_S002_p3,P002_S002_p4,Scream,My girl,filmstim_scream,emostim_my_girl,B,C,B_to_C,870.0,1003.0,133.0,S002_transition_B_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P003,S001,1,P003_S001_p1,P003_S001_p2,Clouds,There is something about Mary,self-made_clouds,filmstim_there_is_something_about_mary,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P003,S001,2,P003_S001_p2,P003_S001_p3,There is something about Mary,My girl,filmstim_there_is_something_about_mary,emostim_my_girl,A,C,A_to_C,523.0,656.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P003,S001,3,P003_S001_p3,P003_S001_p4,My girl,The Shining,emostim_my_girl,emostim_the_shining,C,B,C_to_B,855.0,988.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P004,S001,1,P004_S001_p1,P004_S001_p2,Clouds,Scream,self-made_clouds,filmstim_scream,D,B,D_to_B,216.0,349.0,133.0,S001_transition_D_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P004,S001,2,P004_S001_p2,P004_S001_p3,Scream,Mr. Bean,filmstim_scream,emostim_mr._bean,B,A,B_to_A,565.0,698.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P004,S001,3,P004_S001_p3,P004_S001_p4,Mr. Bean,The Champ,emostim_mr._bean,filmstim_the_champ,A,C,A_to_C,857.0,990.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P005,S001,1,P005_S001_p1,P005_S001_p2,Clouds,The Visitors,self-made_clouds,filmstim_the_visitors,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,True,True,True,True,True,True,
